"Price","Title","Location","Link"
"$380","iPhone 16 e 128gb","Austin, TX","https://www.facebook.com/marketplace/item/24756846923898907/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$950","iPhone 16 pro Max new AT&T cricket","Buda, TX","https://www.facebook.com/marketplace/item/1281158377028810/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$80","iPhone 17 Pro Max T-Mobile *Teléfonos En Pagos*","Austin, TX","https://www.facebook.com/marketplace/item/1121651756782884/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$850","Iphone 16 Pro Max Tmobile Metro","Austin, TX","https://www.facebook.com/marketplace/item/804781178828292/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$680","iPhone 16 Pro AT&T cricket","Austin, TX","https://www.facebook.com/marketplace/item/1333593515161890/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","Iphone 16 Pro Verizon","Austin, TX","https://www.facebook.com/marketplace/item/809782635074031/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$750","iPhone 15 Pro - Black/Titanium, 128GB","Austin, TX","https://www.facebook.com/marketplace/item/807943895047425/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$460","iPhone 15- Pink 256Gb","San Antonio, TX","https://www.facebook.com/marketplace/item/1485470679035861/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$500","iphone 14 pro","Manor, TX","https://www.facebook.com/marketplace/item/1372335694598744/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$450","Unlocked iPhone 14 pro 128GB","Austin, TX","https://www.facebook.com/marketplace/item/1546886356492689/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$300","iPhone 11 Pro Max 256GB For T-Mobile or metro","Austin, TX","https://www.facebook.com/marketplace/item/1931531107685990/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
